Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
E 		0	0		31 Mar 1842	31 Mar 1842	HM Gov restricts Sup and Exec Council	"HM Gov, on Spain's not ceding sovereignty of Hon to GB, directs Exec Council to avoid collision with Pub Mtg, and reminds Sup that his authority is undefined and dependent on usage and therefore to be exercised with discretion"	London					R 21A [31 Mar 1841]	Burdon 3 56	"4 Apr 1842 Gov of Jam to Sup. Advises conciliatory attitude towards Pub Mtg. Quotes: ""Be to their faults a little blind / Be to their virtues very kind / Let all their ways be unconfined / And clap your padlock on their mind."" /v Burdon 3 /R 21A

27 May 1827 Gov of Jam to Sup. Disapproves of renewal of taxes and duties by Order in Council [on 12 Mar 1842, on account of dissolution of Pub Mtg /R 19], states that he has exceeded his powers. Directs him to do all in his power to induce Pub Mtg to return, and to abstain from future encroachments. Advises moderate counsels. /v Burdon 3 57 /R 21A

1 Aug 1842 Stanley to Elgin. States Col McDonald has acted with much precipitation in dispensing with services of Pub Mtg without instructions, directs that his orders be revoked. /v Burdon 3 59 /R 21A"							
E 		0	0		14 May 1842	14 May 1842	HM Gov disallows Hon oversight of Roatan	"HM Gov directs Gov of Jam to not encourage settlement of Ruatan, not guarantee protection of subjects there, and not authorise Mags for Roatan appointed by Sup at Belize"	London					R 21A [14 May 1842]	Burdon 3 57	Possibly see Guat letter 24 Jul 1837 re Bay Islands and brig seizure in Enquirer XXXIV 48 p3 = 20 Oct 1837 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A102C8DD28756FF70%40EANX-10F86902D195F018%402392303-10F8690379012F78-10F86905688179F0 							
E 		0	0		4 Jul 1842	4 Jul 1842	Pub Mtg amends its constitution	Public Meeting passes Act amending constitution of Legislative Assembly [Pub Mtg]	Belize T					"LM B [4 Jul 1842]
R 22A [Colonial Sec to Coffin, Jun 1842]"	Burdon 3 58	"Also resolves that all Civil Servants receive fixed salaries, rather than remuneration by commissions on dues, fees collected. See Act fixing salaries of Public Officers, 6 Aug 1842 /v Burdon 3 60 /Laws 1857

Jun 1842 Sup's Sec to W. H. Coffin. Informs that Sec of State directs Executive to carry affairs in harmony with Pub Mtg, taking usage as rule to be followed. Sec of State recommends Executive and Pub Mtg endeavour to avoid a struggle and take steps for conciliation and avoidance of provocation. Sec of State disapproves Mag's diverting votes for specific purposes to other objects, on ground that right of Mtg to make grants for specific purposes is recognised, so no other authority has power of alienation. /v Burdon 58 /R 22A"							
E 		0	0		17 Aug 1842	17 Aug 1842	Sup notes apathy to Pub Mtg	"Superintendent reports great difficulty in collecting members for Pub Mtg, failing to meet statutory quorum of 15 in one instance, stating this is due to apathy of respectable members of community to Mtg as now constituted, possibly marking first instance of report of apathy towards Pub Mtg"	Belize T					R 19 [17 Aug 1842]	Burdon 3 61								
E 		0	0		1 Mar 1843	1 Mar 1843	HM Gov rules against Pub Mtg	HM Gov rules that Public Meeting has no legislative powers and is merely a creature of usage	London					R 21B [1 Mar 1843]	Burdon 3 62								
E 		0	0		3 Jul 1843	3 Jul 1843	Sup censures Pub Mtg	"Superintendent Col Charles St. John Fancourt, re. practice of Pub Mtg of passing resolution and acting on them without prior assent of Sup, expresses confidence in discontinuance of proceedings unsanctioned by competent authority, and warns Mtg to stay within their authority"	Belize T				Port of Spain Gazette XVIII 53 1843 p3 = 4 Jul 1843	LM C [3 Jul 1843]	Burdon 3 65	"Further states, on instructions, that ""the Public Meeting at Honduras has no right, strictly speaking, to legislate though it may, with the consent of the Superintendent, make rules for the conduct of the Settlement and that it is for the advantage of all parties that the Superintendent and Public Meeting should severally keep within the limits which custom and public convenience have assigned to their respective functions.” /LM C

12 Jul 1843 Sup to Sec. Reports Mtg asked for return of privilege formerly held by them, which he recommends may be sanctioned, of Members originating motions provided 21 days notice. /v Burdon 3 66 /R 19 / 12 Aug 1843 Gov of Jam to Sup. Proposal to allow Pub Mtg members to originate motions for discussion without previous sanction of Sup not approved. /R 21B / 13 Jan 1844 Sup to Sec. On further consideration, is of opinion would be very bad policy to grant Pub Mtg power to originate motions. /v Burdon 3 70 /R 19"							
		0	0		19 Jul 1843	19 Jul 1843	Belgian Colonising Co. [Guat] authorised	Belgian–Guatemalan Treaty signed allowing for Belgian settlement at port of Santo Tomás de Castilla by Compagnie belge de colonisation	Puerto Barrios [Guat]					xxx		"See Amérique Central, Co. Belge de Col., [Paris, Rignoux, 1844] Link: http://id.lib.harvard.edu/alma/990102949290203941/catalog 

See Hon letter 12 Dec 1847 in Times-Picayune [sn] p4 = 11 Jan 1848 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1223BCE5B718A166%40EANX-12247623886B6158%402396038-1223E3D4D86BA9C8%403-124F5DFD4AFABDDB%40From%2BCentral%2BAmerica / See 10 May 1847 Guat Pres decrees in Times-Picayune [sn] p2 = 1 Aug 1847 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1223BCE5B718A166%40EANX-122472F3563CDF00%402395875-1223E2C7EBCC1110%401-123C300E68B8C9D6%40Republic%2Bof%2BGuatemala

FM BELIZE, HON.—We are under obligations to Capt Robinson, of the schooner G. B. Matthews, for titles of the Hon Watchman to Jun 1st [1850]. ... The removal of the custom house fm Yzabal to Santo Tomas, and making the latter a free port, will not tend to benefit the commerce of Belize; on the contrary, it will eventually be the principal depot for all goods going into that country, and must, therefore, become the place of resort for all merchants and traders.—Picayune, 19th. /Evening Post [NYC] XLVII [sn] p3 = 27 Jun 1850

1852 Belgian colonising scheme collapses /v Bethell v 3 499"							
E 		0	0		8 Nov 1843	8 Nov 1843	Pub Mtg amends its constitution	Public Meeting changes qualifications of Members and Voters	Belize T					LM C [8 Nov 1843]	Burdon 3 68	"8 Nov 1843 Pub Mtg. Qualifications for voter: British born subject; Resident settler for two years, and either householder paying annual rent of £30 or in receipt of a salary of not less than £200 pa or possessed of property in his own right or that of his wife to amount of £100 currency after payment of all debts. Qualifications of Members: British born subject; Resident settler for not less than three years; possessed of porperty in own right or that of his wife to amount of £500 Honduras Currency after payment of all debts. /v Burdon 3 68 /LM C"							
E 		0	0		1 Jan 1844	30 Dec 1844	Gunter’s Turtles	"Mr Guner obtains patent for tinned turtle meat, and begins tinning operations in Hon, possibly marking first manufactures in Hon"	"Belize T, London"		Mr Gunter					See account in Alexandria Gazette [Virg.] MORNING [sn] p2 = 30 Dec 1844 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A109C88C3000E7338%40EANX-12FABD542517C210%402394931-12FA52E682BDBC88%401-1301FBE89C02025F%40News%2Bof%2Bthe%2BDay							
E 		0	0		1 Apr 1844	14 Apr 1844	Grand Ct rules Military exempt of civil law	"Chief Justice of Grand Court, in case of resistance of a writ of attachment by an Officer of the WIR, issues opinion contending Military are not subject to Civil Law of the Settlement"	Belize T		Robert Temple			R 19 [12 Apr 1844]	Burdon 3 73	"16 Aug 1842 Office of Chief Justice or ""of a legal Judge"" created by Act /v Burdon 3 61 /Laws 1857 / 27 Jun 1843 John Temple first sitting as Chief Justice /v Burdon 3 65 /GC HH / Grand Court, successor of Quarterly Courts, hitherto presided over by Magistrates, now presided over by Chief Justice with Magistrates as Assistant Justices /v Burdon 3 93 /R 25 [19 Jun 1847]"							
E 		0	0		4 Apr 1844	4 Apr 1844	GB Consul to Mos	"Foreign Office appoints Patrick Walker as Consul-General to Mos Shore, marking return of Eng presence in Mos Shore since 1787 evacuation"	Greytown [Mos]		Patrick Walker			R 21C [4 Apr 1844]	"Naylor 90 p377
Burdon 3 73"	"FM HON.—By the brig Florida Blanca, Capt Eldridge, we have Belize (Hon) papers to the 23d ult. [Jul 1844]. ... The Brit consul at Guat has addressed a circular to the heads of the supreme govts of the several states which constitute the Rep of Guat. This document (says the Hon Observer) shows that Home Govt are determined to support the rights of their ancient ally, the Mosquito nation, and that in any matter of dispute it is their wish to act the part of friendly intermediators, with a view to an amicable adjustment, as well of boundary as other claims which remain unsettled. ... —Journal of Commerce. /Commercial Advertiser [NYC] XLVII [sn] p2 = 13 Aug 1844

20 Feb 1849 Sec of State directs all presents to Mos Indians be discontinued /v Burdon 3 116 /R 30"							
E 		0	0		14 May 1844	14 May 1844	"Sup amends Exec Council, Mags"	"On permission from HM Gov, Sup directs that [appointed] Magistrates are to sit in Exec Council"	Belize T					"R 22A [14 May 1844]
R 21C [23 Apr 1844]
R 19 [16 Jan 1844]"	Burdon 3 73	"16 Jan 1844 Sup to Sec. Seems clear to him that in applying for a Council his predecessors aimed at depriving the Pub Mtg of its Leglative, and Mags of their Administrative powers. States that, having no power over the purse, Council is useless. States that if Mags were appointed ex-officio as Council of the Sup, it would not excite such suspicino as does the present Council. Suggests that Mags be nominated to Council, and all supplies granted to Sup-in-Council. In administrative matter Mags would then be able to come to no decision unless sitting in Council with Sup, while retaining complete independence in administration of Justice. /v Burdon 3 70 /R 19 / 23 Apr 1844 HM Gov approves provided Sup is confident there is no risk of public excitement /R 21C

Fm NY Commercial Advertiser of Saturday. FM HON. By the brig John R. Gardener, Capt Pederson, arrived this morning, we have a file of the Belize Observer to the 18th of June, inclusive. The papers contain more news than we generally receive fm that little out of the way corner of the world. First, we have accounts of a bloodless civil revolution in Belize. About the last of May it was rumored that the members of the Exec Cl had all sent in their resignations, in consequence of orders fm England that the Council was to be abolished; but these orders were accompanied by offers of seats on the bench of magistrates tot he members, with continuance of their honorary titles and of exemption fm jury and militia duty. All but two however, rejected these offers with noble indignation. But, to the astonishment of every body, in a day or two it was officially announced that the magistrates had been sworn in as members of the Council; so the upshot of it seems to be that the Council was not abolished, but only reorganized by the creation of a new set of Councillors. ... /North American [PA] VI 1642 p2 = 8 Jul 1844"							
E 		0	0		1 Jun 1844	30 Jun 1844	Grand Ct acquittal	"Chief Justice of Grand Court directs acquittal of prisoner before evidence is taken, after expressing disapproval of customary procedure of Courts of Settlement, esp re lack of Grand Juries and Public Prosecutor, and proper Indictments"	Belize T					R 19 [10 Aug 1844]	Burdon 3 77	"10 Aug 1844 Sup to Sec. States Chief Justice expressed disapproval of procedure adopted in criminal trials [by custom], esp re absence of Grand Juries, Public Prosecutor, and proper Indictments. That at June Grand Ct the Chief Justice made a speech on the subect, and directed acquittal of a prisoner before any evidence had been taken. /v Burdon 3 77 /R 19

4 Nov 1844 Pub Mtg. Vote of thanks to Mags ""for their defence of the established customs and usages at the last Grand Court against the attempt that was made to introduce a new system of proceeding by permitting professional men to plead in our Courts""; Addresses Sup, crediting Magistrates with escape they had form ""the greatest scourge which could be inflicted upon us, namely, the admission of Lawyers to practice in the Courts of this Settleemnt and begging HE to urge upon the Home Gov their apprehension of being delivered up to the mercy of a profession who from their short experience of legal functionaries they are convinced would unsettle and irritate the Public mind."" /v Burdon 3 78 /LM C

17 Nov 1844 Sup to Sec. Reports Pub Mtg expressed great satisfaction with new Executive Council, now composed of Sup and Mags, and approval of stand taken against Chief Justice in his attempt to establish British Law. /v Burdon 3 79 /R 19

Possibly see, FM HON. We have the Belize Observer to Nov 23 [1844] inclusive ... There is really nothing to note except bitter complaints o the editor against the system under which he lives, and which he pronounces defective, inefficient, uncertain and execrable. His trouble seems to be connected with the administration of the law, and his objurgations are levelled at the magistrates composing what is called the Grand Court. The Sup, or Gov, Col Fancourt, comes in for a share of his displeasure; but the grounds of complaint are so purely local that they do not require exposition. The heaviest of them seems to be the appointment of a private secretary with a salary of £100. /Commercial Advertiser [NYC] XLVII [sn] p2 = 14 Dec 1844"							
